node,hop_from_category,edges_within_category,edges_outside_category
Kazhumaram,0,"{""key"": [""A. B. Raj"", ""Balan K. Nair"", ""Bichu Thirumala"", ""K. J. Yesudas"", ""Kottarakkara Sreedharan Nair"", ""P. Jayachandran"", ""S. P. Balasubrahmanyam"", ""Shankar\u2013Ganesh"", ""Sukumaran"", ""Sukumari"", ""Unni Menon"", ""Vani Jairam""]}","{""key"": [""Malayalam language"", ""Sumalatha"", ""Uma Bharani""]}"
Ek Phool Char Kante,0,"{""key"": [""Bela Bose"", ""Bhappi Sonie"", ""Dulhan Hum Le Jayenge"", ""Lata Mangeshkar"", ""Sunil Dutt"", ""Talat Mahmood"", ""Tun Tun"", ""Waheeda Rehman""]}","{""key"": [""Bindu (actress)"", ""David Abraham Cheulkar"", ""Dhumal (actor)"", ""Gopi"", ""Hasrat Jaipuri"", ""Johnny Walker (actor)"", ""Karisma Kapoor"", ""Krishan Dhawan"", ""Mohammed Rafi"", ""Mohan Choti"", ""Mukesh (singer)"", ""Mumtaz Begum (actress)"", ""Rashid Khan (actor)"", ""Salman Khan"", ""Shailendra (lyricist)"", ""Shankar Jaikishan"", ""Sulochana Latkar""]}"
Tuglak,0,"{""key"": [""Anuradha Bhat"", ""Aravind Kaushik"", ""Arjun Janya"", ""B. Suresha"", ""Rakshit Shetty"", ""Rishab Shetty"", ""Tippu (singer)"", ""Vijay Prakash""]}","{""key"": [""Bank Janardhan"", ""Kannada"", ""Kannada language"", ""Meghana Gaonkar"", ""Soundtrack album"", ""Vaijanath Biradar""]}"
Ee Manohara Theeram,0,"{""key"": [""1921 (1988 film)"", ""Aa Nimisham"", ""Aalinganam"", ""Aalkkoottathil Thaniye"", ""Aanandham Paramaanandham"", ""Aarattu (1979 film)"", ""Aaroodam"", ""Aasheervaadam"", ""Aavanazhi"", ""Aayiram Meni"", ""Abhayam Thedi"", ""Abhinandanam"", ""Abhinivesham"", ""Abkari"", ""Adimakal Udamakal"", ""Adiyozhukkukal"", ""Akale Aakaasham"", ""Aksharangal"", ""Aksharathettu (film)"", ""Allauddinum Albhutha Vilakkum"", ""Amarsham"", ""America America (1983 film)"", ""Angadi (film)"", ""Angadikkappurathu"", ""Angeekaaram"", ""Anjali (1977 film)"", ""Anokha Rishta"", ""Anthardaaham"", ""Anubandham (1985 film)"", ""Anubhavam"", ""Anubhavangale Nanni"", ""Anubhoothi"", ""Anumodhanam"", ""Anuragi"", ""Apaaratha"", ""Arhatha"", ""Arthana"", ""Ashwaradham"", ""Athirathram (film)"", ""Avalude Ravukal"", ""Ayalkkaari"", ""Balram vs. Tharadas"", ""Bhoomika (film)"", ""Bichu Thirumala"", ""Devaasuram"", ""Ee Nadu"", ""Eeta"", ""Ezhamkadalinakkare"", ""G. Devarajan"", ""Guru (1980 film)"", ""Hamsa Geetham"", ""Hariharan (director)"", ""Hridayame Sakshi"", ""I. V. Sasi"", ""Idanilangal"", ""Illam (film)"", ""Ina (film)"", ""Iniyengilum"", ""Iniyum Puzhayozhukum"", ""Innale Innu"", ""Innalenkil Nale"", ""Inspector Balram"", ""Itha Ivide Vare"", ""Ithaa Oru Manushyan"", ""Ithrayum Kaalam"", ""Ivar (1980 film)"", ""Jayabharathi"", ""John Jaffer Janardhanan"", ""K. J. Yesudas"", ""K. Narayanan"", ""K. P. Ummer"", ""Kaali (1980 film)"", ""Kaantha Valayam"", ""Kanamarayathu"", ""Karimpana"", ""Karimpinpoovinakkare"", ""Karishmaa"", ""Kolangal (1995 film)"", ""Koodanayum Kattu"", ""Lakshmana Rekha (film)"", ""Madhu (actor)"", ""Manasa Vacha Karmana"", ""Midhya"", ""Mrugaya (1989 film)"", ""Mukthi"", ""Naalkavala"", ""Nanayam"", ""Njaan Njaan Maathram"", ""Oonjaal"", ""Ore Vaanam Ore Bhoomi"", ""Orikkal Koodi"", ""P. Madhuri"", ""Pagalil Oru Iravu"", ""Patita (1980 film)"", ""Philomina"", ""Rangam"", ""Seema (actress)"", ""Sindoora Sandhyakku Mounam"", ""Sradha"", ""Sukumaran"", ""Symphony (film)"", ""Thadaakam"", ""The City (1994 film)"", ""Thrishna"", ""Thushaaram"", ""Utsavam (film)"", ""Uyarangalil"", ""Vadakakku Oru Hridayam"", ""Varnapakittu"", ""Vartha"", ""Varthamana Kalam"", ""Vellathooval"", ""Vrutham""]}","{""key"": [""Ahimsa"", ""Cinema of India"", ""India"", ""Jayan"", ""KPAC Lalitha"", ""KP Ummer"", ""Kaikeyi"", ""Kuthiravattam Pappu"", ""Malayalam Language"", ""Malayalam language"", ""Rajakokila"", ""Ravikumar (actor)"", ""Shobhana"", ""Vidhubala""]}"
Ithaa Oru Manushyan,0,"{""key"": [""1921 (1988 film)"", ""Aa Nimisham"", ""Aalinganam"", ""Aalkkoottathil Thaniye"", ""Aanandham Paramaanandham"", ""Aarattu (1979 film)"", ""Aaroodam"", ""Aasheervaadam"", ""Aavanazhi"", ""Aayiram Meni"", ""Abhayam Thedi"", ""Abhinandanam"", ""Abhinivesham"", ""Abkari"", ""Adimakal Udamakal"", ""Adiyozhukkukal"", ""Adoor Bhasi"", ""Akale Aakaasham"", ""Aksharangal"", ""Aksharathettu (film)"", ""Allauddinum Albhutha Vilakkum"", ""Amanush (1975 film)"", ""Amarsham"", ""America America (1983 film)"", ""Angadi (film)"", ""Angadikkappurathu"", ""Angeekaaram"", ""Anjali (1977 film)"", ""Anokha Rishta"", ""Anthardaaham"", ""Anubandham (1985 film)"", ""Anubhavam"", ""Anubhavangale Nanni"", ""Anubhoothi"", ""Anumodhanam"", ""Anuragi"", ""Apaaratha"", ""Arhatha"", ""Arthana"", ""Ashwaradham"", ""Athirathram (film)"", ""Avalude Ravukal"", ""Ayalkkaari"", ""Bahadoor"", ""Balram vs. Tharadas"", ""Bhoomika (film)"", ""Devaasuram"", ""Ee Manohara Theeram"", ""Ee Nadu"", ""Eeta"", ""Ezhamkadalinakkare"", ""Guru (1980 film)"", ""Hamsa Geetham"", ""Hridayame Sakshi"", ""I. V. Sasi"", ""Idanilangal"", ""Illam (film)"", ""Ina (film)"", ""Iniyengilum"", ""Iniyum Puzhayozhukum"", ""Innale Innu"", ""Innalenkil Nale"", ""Inspector Balram"", ""Itha Ivide Vare"", ""Ithrayum Kaalam"", ""Ivar (1980 film)"", ""Jayabharathi"", ""John Jaffer Janardhanan"", ""K. Narayanan"", ""K. P. Brahmanandan"", ""K. P. Ummer"", ""Kaali (1980 film)"", ""Kaantha Valayam"", ""Kanakadurga"", ""Kanamarayathu"", ""Karimpana"", ""Karimpinpoovinakkare"", ""Karishmaa"", ""Kolangal (1995 film)"", ""Koodanayum Kattu"", ""Lakshmana Rekha (film)"", ""M. S. Viswanathan"", ""Madhu (actor)"", ""Manasa Vacha Karmana"", ""Midhya"", ""Mrugaya (1989 film)"", ""Mukthi"", ""Naalkavala"", ""Nanayam"", ""Njaan Njaan Maathram"", ""Oonjaal"", ""Ore Vaanam Ore Bhoomi"", ""Orikkal Koodi"", ""P. Jayachandran"", ""Pagalil Oru Iravu"", ""Patita (1980 film)"", ""Poojappura Ravi"", ""Rangam"", ""S. Janaki"", ""Sheela"", ""Sindoora Sandhyakku Mounam"", ""Sradha"", ""Sreekumaran Thampi"", ""Symphony (film)"", ""Thadaakam"", ""The City (1994 film)"", ""Thrishna"", ""Thushaaram"", ""Utsavam (film)"", ""Uyarangalil"", ""Vadakakku Oru Hridayam"", ""Varnapakittu"", ""Vartha"", ""Varthamana Kalam"", ""Vellathooval"", ""Vrutham""]}","{""key"": [""Ahimsa"", ""Cinema of India"", ""India"", ""Jayan"", ""KP Ummer"", ""Kaikeyi"", ""Kuthiravattam Pappu"", ""L. R. Eeswari"", ""Malayalam Language"", ""Malayalam language""]}"
The Great Gambler,0,"{""key"": [""Amitabh Bachchan"", ""Asha Bhosle"", ""Kishore Kumar"", ""Om Shivpuri"", ""Shakti Samanta"", ""Utpal Dutt""]}","{""key"": [""Anand Bakshi"", ""Crime action film"", ""Goa"", ""Helen (actress)"", ""Iftekhar (actor)"", ""Jagdish Raj"", ""Madan Puri"", ""Military"", ""Mohammed Rafi"", ""Neetu Singh"", ""Prem Chopra"", ""R. D. Burman"", ""Roopesh Kumar"", ""Sujit Kumar"", ""Zeenat Aman""]}"
Champion (2019 film),0,"{""key"": [""Aadhalal Kadhal Seiveer"", ""Azhagarsamiyin Kuthirai"", ""Eeswaran"", ""Genius (2018 Tamil film)"", ""Haricharan"", ""Jeeva (2014 film)"", ""Kennedy Club"", ""Kuttram Kuttrame"", ""Maaveeran Kittu"", ""Naan Mahaan Alla (2010 film)"", ""Nenjil Thunivirundhal"", ""Paayum Puli (2015 film)"", ""Pandiya Naadu"", ""Rajapattai"", ""Stun Siva"", ""Sujith Sarang"", ""Suseenthiran"", ""Veerapandiyapuram"", ""Vennila Kabadi Kuzhu"", ""Vishal (actor)""]}","{""key"": [""Arrol Corelli"", ""Igloo (2019 film)"", ""Kabilan (lyricist)"", ""Lock Up (2020 film)"", ""Manoj Bharathiraja"", ""Mirnalini Ravi"", ""Mohan Rajan"", ""Narain (actor)"", ""R. K. Suresh"", ""Soundtrack album"", ""TrendMusic"", ""Vinod Sagar"", ""Viveka (lyricist)""]}"
Abhishek Shankar,0,"{""key"": [""Aambala"", ""Archana Joglekar"", ""Ekta Kapoor"", ""Kabadadaari"", ""Mogamul"", ""Pathinaaru"", ""Samuthirakani"", ""Thalaivan"", ""Thupparivaalan"", ""Vaayai Moodi Pesavum"", ""Vantha Rajavathaan Varuven""]}","{""key"": [""Ammuvagiya Naan"", ""Asokavanam (2001 film)"", ""Azhagaana Ponnuthan"", ""Chellamay"", ""Chocolate (Indian Tamil TV series)"", ""D3 (film)"", ""Facebook"", ""Gemini TV"", ""Gnana Rajasekaran"", ""India"", ""Irai (web series)"", ""Ka Pae Ranasingam"", ""Kalaignar TV"", ""Kalki (TV series)"", ""Kanmani (TV series)"", ""Kathai (film)"", ""Kolangal (TV series)"", ""Maya (2012 TV series)"", ""Meena (2023 TV series)"", ""Mirugaa"", ""Mumbai"", ""N4 (film)"", ""Pallavan"", ""Paper Rocket"", ""Pencil (film)"", ""Pizza 3: The Mummy"", ""Pudhu Pudhu Arthangal (TV series)"", ""Raj TV"", ""Samsaaram Aarogyathinu Haanikaram"", ""Sify"", ""Sun TV (India)"", ""Thangam (TV series)"", ""The Family Man (Indian TV series)"", ""Yenni Thuniga"", ""Zee Tamil""]}"
V (2020 film),0,"{""key"": [""Aditi Rao Hydari"", ""Amit Trivedi"", ""Anurag Kulkarni"", ""Ashta Chamma"", ""Dil Raju"", ""Dulquer Salmaan"", ""Gentleman (2016 film)"", ""Jayaprakash"", ""Marthand K. Venkatesh"", ""Mohana Krishna Indraganti"", ""Nani (actor)"", ""Nikhita Gandhi"", ""Nivetha Thomas"", ""P. G. Vinda"", ""Ramajogayya Sastry"", ""Ravi Varma (stunt director)"", ""Rohini (actress)"", ""Sharwanand"", ""Shashaa Tirupati"", ""Shreya Ghoshal"", ""Sudheer Babu"", ""Sye Raa Narasimha Reddy"", ""Tanikella Bharani"", ""Thalaivasal Vijay"", ""That Is Mahalakshmi"", ""Yazin Nizar""]}","{""key"": [""9th South Indian International Movie Awards"", ""Action thriller film"", ""Adarsh Balakrishna"", ""Aditya Music"", ""Ananda Chakrapani"", ""Baradwaj Rangan"", ""Bollywood"", ""Bombay High Court"", ""COVID-19 lockdown in India"", ""Film Companion"", ""Firstpost"", ""Getup Srinu"", ""Gunjan Saxena: The Kargil Girl"", ""Harish Uthaman"", ""Hyderabad"", ""Indian National Army"", ""Indian rupee"", ""Krishna Kanth"", ""Madhusudhan Rao (actor)"", ""Mumbai"", ""Naresh (actor)"", ""News18"", ""Rajitha"", ""S. Thaman"", ""SIIMA Award for Best Actor in a Negative Role \u2013 Telugu"", ""SIIMA Award for Best Actor \u2013 Telugu"", ""SIIMA Award for Best Cinematographer \u2013 Telugu"", ""SIIMA Award for Best Director \u2013 Telugu"", ""SIIMA Award for Best Female Playback Singer (Telugu)"", ""SIIMA Award for Best Music Director \u2013 Telugu"", ""Sakshi Malik (actress)"", ""Sammohanam (2018 film)"", ""Sify"", ""Sirivennela Seetharama Sastry"", ""Soundtrack album"", ""South Indian International Movie Awards"", ""Sri Venkateswara Creations"", ""Srikanth Iyyengar"", ""Telugu language"", ""That is Mahalakshmi"", ""The News Minute"", ""The Times of India"", ""Times of India"", ""Ugadi"", ""Vennela Kishore"", ""Vinay Varma"", ""Vizag""]}"
Interview (1973 film),0,"{""key"": [""Adoor Bhasi"", ""Bahadoor"", ""J. Sasikumar"", ""Jayabharathi"", ""K. J. Yesudas"", ""K. P. Brahmanandan"", ""Kaviyoor Ponnamma"", ""P. Susheela"", ""Prem Nazir"", ""S. L. Puram Sadanandan"", ""Sankaradi"", ""T. R. Omana"", ""V. Dakshinamoorthy"", ""Vayalar Ramavarma""]}","{""key"": [""L. R. Eeswari"", ""Malayalam"", ""Muthukulam Raghava Pilla"", ""Pala Thankam"", ""Sreelatha Namboothiri"", ""Sujatha (actress)"", ""T. S. Muthaiah""]}"
Prem Lata Sharma,0,"{""key"": [""Ali Akbar Khan"", ""Allauddin Khan"", ""Amjad Ali Khan"", ""Ammannur Madhava Chakyar"", ""Anjanibai Malpekar"", ""Annapurna Devi"", ""Ashutosh Bhattacharya"", ""B. V. Karanth"", ""Balasaraswati"", ""Bhimsen Joshi"", ""Bhupen Hazarika"", ""Bindhyabasini Devi"", ""Birju Maharaj"", ""Bismillah Khan"", ""C. V. Chandrasekhar"", ""Chandralekha (dancer)"", ""Chandrashekhara Kambara"", ""Chandravadan Mehta"", ""Chhannulal Mishra"", ""D. K. Pattammal"", ""Darshana Jhaveri"", ""E. Krishna Iyer"", ""Ebrahim Alkazi"", ""Gangubai Hangal"", ""Girija Devi"", ""Girish Karnad"", ""Guru Kunchu Kurup"", ""Habib Tanvir"", ""Hariprasad Chaurasia"", ""Heisnam Kanhailal"", ""Jasraj"", ""Jatin Goswami"", ""K. P. Kittappa Pillai"", ""Kalamandalam Gopi"", ""Kamaladevi Chattopadhyay"", ""Kanak Rele"", ""Kapila Vatsyayan"", ""Kavalam Narayana Panicker"", ""Kelucharan Mohapatra"", ""Khaled Choudhury"", ""Kishan Maharaj"", ""Kishori Amonkar"", ""Kumar Gandharva"", ""Lata Mangeshkar"", ""M. Balamuralikrishna"", ""M. S. Sathyu"", ""M. S. Subbulakshmi"", ""Malini Rajurkar"", ""Mallikarjun Mansur"", ""Mani Madhava Chakyar"", ""Mrinalini Sarabhai"", ""Nataraja Ramakrishna"", ""Padma Subrahmanyam"", ""Papanasam Sivan"", ""Prithviraj Kapoor"", ""Purushottam Laxman Deshpande"", ""Rajkumar Singhajit Singh"", ""Ram Gopal (dancer)"", ""Ram Gopal Bajaj"", ""Ramankutty Nair"", ""Ratan Thiyam"", ""Ravi Shankar"", ""Rohini Bhate"", ""Rukmini Devi Arundale"", ""Sadanam Krishnankutty"", ""Saroja Vaidyanathan"", ""Satyajit Ray"", ""Semmangudi Srinivasa Iyer"", ""Shambhu Maharaj"", ""Shanno Khurana"", ""Shivkumar Sharma"", ""Sitara Devi"", ""Sombhu Mitra"", ""Sonal Mansingh"", ""Sumati Mutatkar"", ""Sunil Kothari"", ""T. V. Gopalakrishnan"", ""Tapas Sen"", ""Teejan Bai"", ""Uday Shankar"", ""Umayalpuram K. Sivaraman"", ""Utpal Dutt"", ""V. K. Narayana Menon"", ""V. Satyanarayana Sarma"", ""Vedavalli"", ""Vempati Chinna Satyam"", ""Vijay Tendulkar"", ""Yamini Krishnamurthy"", ""Zakir Hussain (musician)"", ""Zohra Sehgal"", ""Zubin Mehta""]}","{""key"": [""A. K. C. Natarajan"", ""Adya Rangacharya"", ""Alain Dani\u00e9lou"", ""Ariyakudi Ramanuja Iyengar"", ""Arvind Parikh"", ""B. Puttaswamayya"", ""B. R. Deodhar"", ""Badal Sarkar"", ""Bade Ghulam Ali Khan"", ""Bharat Gupt"", ""Bhargavaram Viththal Varerkar"", ""Dilipkumar Roy"", ""Gopeshwar Banerjee"", ""Hafiz Ali Khan"", ""Jaideva Singh"", ""Jayachamarajendra Wadiyar"", ""Jnan Prakash Ghosh"", ""Kalicharan Pattnaik"", ""Kamlesh Dutt Tripathi"", ""Karaikudi Sambasiva Iyer"", ""Komal Kothari"", ""Krishnarao Phulambrikar"", ""Lalgudi Jayaraman"", ""M. Chandrasekaran"", ""Mahesh Elkunchwar"", ""Maheswar Neog"", ""Mukund Lath"", ""Musiri Subramania Iyer"", ""N. Rajam"", ""Ningthoukhongjam Khelchandra"", ""P. V. Rajamannar"", ""Pichu Sambamoorthi"", ""R. C. Mehta"", ""R. Sathyanarayana"", ""Rahim Fahimuddin Dagar"", ""Rallapalli Ananta Krishna Sharma"", ""Rasiklal Parikh"", ""S. R. Janakiraman"", ""S. Ramanathan (musician)"", ""Sangeet Natak Akademi Fellowship"", ""Santidev Ghosh"", ""Shivaram Karanth"", ""Shrikrishna Narayan Ratanjankar"", ""Shriram Lagoo"", ""Siyaram Tiwari (musician)"", ""Sushil Kumar Saxena"", ""Swapan Chaudhuri"", ""T. H. Vinayakram"", ""T. K. Murthy"", ""T. L. Venkatarama Iyer"", ""T. N. Krishnan"", ""Tarapada Chakraborty"", ""Tulsidas Borkar"", ""University of Delhi"", ""V. Raghavan"", ""Vilayat Khan"", ""Vinayakrao Patwardhan"", ""Yehudi Menuhin""]}"
Iniyoru Janmam Tharu,0,"{""key"": [""Adoor Bhasi"", ""Jayabharathi"", ""K. J. Yesudas"", ""M. B. Sreenivasan"", ""Madhu (actor)"", ""P. B. Sreenivas"", ""Philomina"", ""S. Janaki"", ""Vayalar Ramavarma""]}","{""key"": [""Cinema of India"", ""India"", ""Malayalam Language"", ""Malayalam language"", ""Paravoor Bharathan"", ""Santha Devi"", ""Veeran""]}"
Nupur Asthana,0,"{""key"": [""Aar Ya Paar"", ""Ketan Mehta"", ""Rajat Kapoor""]}","{""key"": [""Bewakoofiyaan"", ""Delhi University"", ""Four More Shots Please!"", ""Hindi cinema"", ""Hip Hip Hurray (TV series)"", ""Hubahu"", ""Indian television"", ""Lady Shri Ram College for Women"", ""Mahi Way"", ""Modern Love: Mumbai"", ""Mohan Kapoor"", ""Mujhse Fraaandship Karoge"", ""Pushtiie Shakti"", ""Romil & Jugal"", ""Sandhya Mridul"", ""Sophia Polytechnic"", ""Suchitra Pillai-Malik"", ""The Times of India"", ""Time Bomb 9/11"", ""Uttar Pradesh"", ""Y-Films"", ""YRF Television"", ""Yash Raj Films"", ""Yashraj Films""]}"
Rosogolla (film),0,"{""key"": [""Chiranjeet Chakraborty"", ""Kaushik Sen"", ""Nandita Roy"", ""Pavel (film director)"", ""Shiboprosad Mukherjee""]}","{""key"": [""Aparajita Auddy"", ""Bengal"", ""Bengali language"", ""Bidipta Chakraborty"", ""Kharaj Mukherjee"", ""Kolkata"", ""Laboni Sarkar"", ""Nobin Chandra Das"", ""Rajatabha Dutta"", ""Rajatava Dutta"", ""Rasgulla"", ""Shantilal Mukherjee"", ""Subhashree Ganguly"", ""Timir Biswas"", ""Ujaan Ganguly"", ""Windows Production""]}"
Padosi,0,"{""key"": [""Agnikankan: Branded Oath"", ""Amar Bhoopali"", ""Amar Jyoti"", ""Amrit Manthan (film)"", ""Apna Desh (1949 film)"", ""Ayodhyecha Raja"", ""Boond Jo Ban Gayee Moti"", ""Chandrasena (1931 film)"", ""Chandrasena (1935 film)"", ""Dahej (film)"", ""Devdas (1935 film)"", ""Dharmatma (1935 film)"", ""Do Aankhen Barah Haath"", ""Dr. Kotnis Ki Amar Kahani"", ""Duniya Na Mane"", ""Gajanan Jagirdar"", ""Geet Gaya Patharon Ne"", ""Gopal Krishna (1929 film)"", ""Homi Wadia"", ""Jal Bin Machhli Nritya Bin Bijli"", ""Jhanak Jhanak Payal Baaje"", ""Jhanjhaar"", ""Khooni Khanjar"", ""Kunku"", ""Ladki Sahyadri Ki"", ""Lokshahir Ram Joshi"", ""Manoos"", ""Mazhar Khan (actor, born 1905)"", ""Mehboob Khan"", ""Miss Frontier Mail"", ""Mother India"", ""Navrang"", ""Netaji Palkar (film)"", ""Parbat Pe Apna Dera"", ""Parchhain"", ""Sehra (film)"", ""Shakuntala (1943 film)"", ""Sinhagad (film)"", ""Stree (1961 film)"", ""Subah Ka Tara"", ""Surang"", ""Teen Batti Char Raasta"", ""Udaykal"", ""V. Shantaram"", ""Vishnupant Govind Damle""]}","{""key"": [""Aadmi (1939 film)"", ""Chaani"", ""Keshavrao Date"", ""Krishnarao Phulambrikar"", ""Maharashtra Film Company"", ""Marathi language"", ""Maya Machindra"", ""P. C. Barua"", ""Pinjra (film)"", ""Prabhat Film Company"", ""Rajkamal Kalamandir"", ""Rani Saheba (1930 film)"", ""Sairandhri (1933 Marathi film)"", ""Wimal Dissanayake""]}"
